instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,42,62,11,41,10,1.4761904761904763,27,3.814814814814815,0.3225806451612903,6,2,73,3:cd,14,0.38,early,14,1.0,False,3,3.0,9,3.67,False,7,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,under15min,30,48,6,32,7,1.5666666666666667,20,3.05,0.3333333333333333,5,2,54,3:cd,17,0.22,early,6,1.0,False,3,2.25,4,2.0,True,2,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,50,101,10,68,12,1.82,84,4.488095238095238,0.40594059405940597,9,2,111,3:cd,34,0.28,early,21,1.12,True,4,2.88,6,3.0,True,3,False,False,14,1,True,True,False,N/A,13,13.0,1,0,0,0,13,0
sympy__sympy-21379,resolved,under1h,66,109,22,71,10,1.5454545454545454,37,2.864864864864865,0.3486238532110092,6,2,131,3:cd,39,0.42,early,25,1.0,False,3,2.22,18,7.67,True,6,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11790,unresolved,under1h,51,93,9,56,11,1.7450980392156863,83,4.9397590361445785,0.3655913978494624,9,2,102,3:cd,26,0.37,middle,25,1.06,True,3,2.62,5,3.67,True,5,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,35,57,6,37,10,1.5714285714285714,34,4.411764705882353,0.3508771929824561,7,2,63,3:cd,16,0.31,early,11,1.06,True,4,3.4,4,2.0,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,under15min,50,82,12,51,10,1.6,31,2.7419354838709675,0.35365853658536583,7,2,94,3:cd,23,0.45,mixed,25,1.0,False,3,2.5,7,4.33,True,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,58,97,18,67,11,1.5517241379310345,41,3.5609756097560976,0.32989690721649484,8,2,115,3:cd,31,0.38,early,22,1.03,True,4,2.67,10,4.5,True,8,False,True,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14855,resolved,under15min,58,111,6,70,8,1.706896551724138,43,2.744186046511628,0.3783783783783784,5,2,117,3:cd,42,0.29,early,21,1.1,True,3,2.2,5,2.33,False,4,False,False,3,3,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,50,81,12,56,14,1.52,31,3.6451612903225805,0.32098765432098764,11,2,93,2:cd,26,0.33,early,15,1.0,False,5,2.38,8,2.4,True,3,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14034,unresolved,under1h,37,58,10,36,15,1.4864864864864864,24,4.583333333333333,0.29310344827586204,9,2,68,3:cd,10,0.42,mixed,15,1.0,False,4,2.71,5,2.75,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13925,unresolved,under1h,95,152,27,100,13,1.5473684210526315,56,3.0535714285714284,0.34210526315789475,8,2,179,3:cd,52,0.54,mixed,47,1.01,True,5,2.79,12,5.4,True,6,False,False,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11880,resolved,under15min,40,66,10,42,9,1.6,25,2.68,0.36363636363636365,6,2,76,3:cd,25,0.39,early,15,1.0,False,4,2.86,4,2.75,True,4,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8459,resolved,under15min,79,142,15,93,14,1.5569620253164558,48,3.3125,0.34507042253521125,7,2,157,3:cd,46,0.41,mixed,36,1.02,True,4,2.88,6,3.5,True,6,False,False,11,11,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14141,resolved,under15min,34,58,9,39,8,1.588235294117647,25,3.52,0.3620689655172414,6,2,67,2:cd,20,0.31,early,12,1.0,False,3,2.33,6,3.0,False,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,86,152,18,97,13,1.627906976744186,91,4.230769230769231,0.34868421052631576,8,2,170,3:cd,39,0.35,early,34,1.02,True,4,2.36,12,5.0,True,7,False,False,5,4,False,False,False,N/A,1,1.0,1,0,0,0,1,0
django__django-12308,resolved,under15min,71,111,19,77,17,1.4929577464788732,42,3.6904761904761907,0.3063063063063063,11,2,130,4:cd,34,0.37,early,22,1.0,False,3,2.29,14,7.0,True,3,False,True,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2931,unresolved,under1h,47,77,14,50,12,1.574468085106383,29,2.7586206896551726,0.35064935064935066,8,2,91,3:cd,28,0.35,early,13,1.08,True,3,2.22,9,4.67,True,4,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11820,unresolved,under15min,69,127,15,79,16,1.681159420289855,107,5.401869158878505,0.3700787401574803,12,2,142,3:cd,31,0.28,early,23,1.09,True,4,2.56,5,3.75,True,3,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11179,resolved,under15min,82,151,41,99,17,1.5609756097560976,53,3.2830188679245285,0.33774834437086093,10,2,192,3:cd,51,0.43,mixed,39,1.06,True,6,3.0,4,2.57,True,2,False,True,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-22719,resolved,under15min,52,86,12,59,11,1.5576923076923077,35,3.5714285714285716,0.3372093023255814,7,2,98,3:cd,28,0.34,early,15,1.07,True,4,2.83,8,4.0,True,4,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14122,resolved,under1h,85,149,24,100,16,1.5529411764705883,68,4.411764705882353,0.31543624161073824,9,2,173,9:cd,39,0.3,early,29,1.02,True,3,2.21,14,6.67,True,6,False,False,12,11,False,False,False,"('localization',)",1,1.0,1,0,0,0,1,0
scikit-learn__scikit-learn-14053,resolved,under1h,50,82,13,56,10,1.54,31,3.2580645161290325,0.34146341463414637,7,2,95,2:cd,27,0.33,early,15,1.0,False,5,3.33,6,2.4,True,2,False,True,4,3,False,False,False,N/A,1,1.0,1,0,0,0,1,0
sympy__sympy-18698,unresolved,under1h,89,153,19,100,20,1.5730337078651686,58,3.5689655172413794,0.35947712418300654,16,2,172,3:cd,54,0.23,early,23,1.0,False,3,2.33,14,6.67,True,3,False,False,20,17,False,False,False,N/A,1,1.0,3,0,0,1,2,0
sympy__sympy-19783,resolved,under1h,46,76,12,49,8,1.565217391304348,27,2.7777777777777777,0.34210526315789475,5,2,88,3:cd,28,0.32,early,14,1.0,False,6,4.2,5,2.0,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15875,resolved,under15min,84,151,17,90,8,1.6904761904761905,60,2.6,0.40397350993377484,5,2,168,3:cd,60,0.28,early,29,1.05,True,4,2.43,8,3.5,True,5,False,True,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3151,resolved,under1h,34,57,7,36,9,1.6470588235294117,26,2.9615384615384617,0.3684210526315789,6,2,64,4:cd,21,0.31,early,11,1.0,False,5,4.0,2,1.4,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7748,unresolved,under1h,67,122,11,80,13,1.5970149253731343,61,4.540983606557377,0.3442622950819672,9,2,133,3:cd,24,0.28,early,24,1.09,True,3,2.25,8,3.67,True,3,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
