instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,28,36,11,25,19,1.25,9,4.888888888888889,0.19444444444444445,16,2,47,1:cd,8,0.59,mixed,9,1.1,True,2,1.5,8,5.5,True,0,False,False,4,2,False,False,False,"('localization',)",2,2.0,1,1,0,1,0,0
sympy__sympy-13480,resolved,under15min,7,7,0,6,6,1.0,1,6.0,0.14285714285714285,6,6,7,0:cd,2,0.38,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,7,6,0,6,6,0.8571428571428571,0,0.0,0.0,0,0,6,0:think,1,0.57,middle,1,1.0,False,1,1.0,3,3.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unresolved,under1h,14,13,0,14,13,0.9285714285714286,0,0.0,0.0,0,0,13,0:pwd,1,0.71,middle,1,1.0,False,1,1.0,4,4.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11790,resolved,under1h,18,24,1,16,13,1.2777777777777777,6,3.0,0.16666666666666666,8,2,25,0:cd,5,0.48,mixed,7,1.0,False,2,1.2,5,3.0,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,15,21,0,14,9,1.2666666666666666,5,3.6,0.19047619047619047,5,2,21,1:cd,5,0.27,early,4,1.0,False,1,1.0,2,2.0,False,0,False,False,6,3,False,True,False,N/A,3,3.0,1,3,0,0,0,0
django__django-15569,resolved,under15min,4,3,0,3,3,0.75,0,0.0,0.0,0,0,3,0:cd,1,0.5,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,6,8,0,6,5,1.1666666666666667,2,3.5,0.125,5,2,8,0:cd,3,0.44,middle,2,1.0,False,1,1.0,2,2.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14855,resolved,under15min,13,15,0,13,10,1.1538461538461537,3,4.0,0.2,5,2,15,6:cd,3,0.44,early,3,1.17,True,1,1.0,3,3.0,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,11,12,0,10,10,1.0,1,5.0,0.08333333333333333,5,5,12,6:cd,2,0.23,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
