instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,9,10,0,9,8,1.1111111111111112,2,5.0,0.1,8,2,10,0:think,2,0.55,middle,2,1.0,False,1,1.0,4,4.0,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,under15min,6,6,0,5,5,1.0,1,5.0,0.16666666666666666,5,5,6,0:cd,2,0.43,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,13,17,0,11,6,1.3076923076923077,5,3.4,0.29411764705882354,4,2,17,1:cd,4,0.28,middle,3,1.0,False,1,1.0,2,2.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unsubmitted,under1h,87,116,19,97,43,1.2528735632183907,25,5.72,0.19827586206896552,16,2,135,0:cd,12,0.42,early,27,1.14,True,4,1.39,23,8.75,True,4,False,True,38,9,False,True,False,"('localization',)",15,4.83,6,28,0,0,1,0
django__django-11790,unresolved,under1h,4,3,0,3,3,0.75,0,0.0,0.0,0,0,3,0:cd,1,0.5,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,20,27,0,18,6,1.35,8,2.875,0.25925925925925924,4,2,27,1:cd,9,0.39,middle,6,1.0,False,1,1.0,5,5.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,under15min,5,4,0,4,4,0.8,0,0.0,0.0,0,0,4,0:cd,1,0.6,middle,1,1.0,False,1,1.0,2,2.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,16,33,0,11,9,1.5625,25,5.2,0.2727272727272727,8,2,33,4:cd,7,0.09,early,2,1.0,False,1,1.0,1,1.0,False,0,False,False,6,5,True,False,False,N/A,1,1.0,1,1,0,0,0,0
django__django-14855,resolved,under15min,11,10,1,9,10,0.9090909090909091,0,0.0,0.0,0,0,11,0:think,1,0.73,middle,2,1.0,False,2,1.5,2,1.5,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,19,31,1,20,7,1.5263157894736843,12,3.0,0.3225806451612903,5,2,32,0:cd,11,0.44,mixed,9,1.08,True,2,2.0,1,1.0,True,0,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14034,unresolved,under1h,23,37,1,29,16,1.3043478260869565,8,4.875,0.21621621621621623,14,3,38,11:cd,8,0.18,early,2,1.0,False,2,1.5,2,1.5,True,0,False,False,8,7,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
django__django-13925,unresolved,under1h,22,28,1,21,7,1.2727272727272727,7,3.5714285714285716,0.21428571428571427,5,2,29,0:cd,8,0.66,mixed,8,1.0,False,2,1.1,10,5.5,True,0,False,False,2,1,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
django__django-11880,resolved,under15min,6,6,0,5,5,1.0,1,2.0,0.0,2,2,6,0:cd,2,0.57,late,2,1.0,False,1,1.0,2,2.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8459,resolved,under15min,41,47,7,35,33,1.146341463414634,8,2.875,0.0851063829787234,4,2,54,31:cd,6,0.62,mixed,6,1.0,False,3,1.56,7,4.33,True,2,False,True,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14141,resolved,under15min,5,4,0,4,4,0.8,0,0.0,0.0,0,0,4,0:cd,1,0.6,middle,1,1.0,False,1,1.0,2,2.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,19,25,1,20,11,1.3157894736842106,8,4.375,0.24,7,2,26,1:cd,6,0.5,mixed,6,1.0,False,1,1.0,7,7.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12308,unresolved,under15min,8,10,0,7,5,1.25,3,2.3333333333333335,0.2,3,2,10,0:cd,4,0.45,middle,4,1.0,False,1,1.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2931,unresolved,under1h,18,22,3,14,13,1.2222222222222223,5,3.6,0.18181818181818182,10,2,25,0:cd,6,0.43,middle,3,1.0,False,2,1.25,6,3.5,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11820,unresolved,under15min,10,9,0,9,9,0.9,0,0.0,0.0,0,0,9,0:cd,1,0.6,middle,1,1.0,False,1,1.0,2,2.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11179,resolved,under15min,5,4,0,4,4,0.8,0,0.0,0.0,0,0,4,0:cd,1,0.6,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-22719,resolved,under15min,57,91,2,65,18,1.4035087719298245,30,5.066666666666666,0.24175824175824176,11,2,93,1:cd,13,0.33,mixed,14,1.11,True,2,1.36,9,6.5,True,2,False,True,22,12,False,False,False,"('localization',)",3,1.25,8,10,0,0,0,0
django__django-14122,unresolved,under1h,15,14,2,14,14,0.9333333333333333,0,0.0,0.0,0,0,16,0:cd,1,0.87,mixed,1,1.0,False,2,1.33,6,4.0,True,1,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14053,resolved,under1h,16,17,4,15,15,1.0,1,5.0,0.058823529411764705,5,5,21,11:cd,2,0.44,early,2,1.0,False,3,2.67,2,1.67,True,0,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-18698,unsubmitted,under1h,52,96,1,70,15,1.5192307692307692,28,3.2142857142857144,0.2916666666666667,8,1,97,1:cd,27,0.05,early,4,1.25,True,2,2.0,2,1.5,True,0,False,False,39,20,False,True,False,N/A,8,1.9,10,19,0,0,0,0
sympy__sympy-19783,unsubmitted,under1h,57,115,6,97,26,1.6140350877192982,56,4.571428571428571,0.3217391304347826,12,1,121,1:cd,19,0.19,mixed,22,1.69,True,3,2.67,8,5.33,True,0,False,True,61,19,True,True,False,"('localization',)",19,3.82,11,34,0,1,7,0
sympy__sympy-15875,unresolved,under15min,30,39,2,30,11,1.3,10,3.5,0.23076923076923078,7,1,41,0:cd,10,0.72,mixed,10,1.04,True,2,1.12,17,9.5,True,3,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3151,unresolved,under1h,11,11,1,11,10,1.0,1,8.0,0.09090909090909091,8,8,12,0:think,2,0.5,middle,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7748,unresolved,under1h,21,25,0,20,12,1.1904761904761905,5,4.2,0.16,9,2,25,0:cd,6,0.46,mixed,7,1.0,False,1,1.0,6,6.0,True,0,False,False,7,6,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
pytest-dev__pytest-7236,unresolved,under1h,13,16,0,12,10,1.0769230769230769,2,2.0,0.0,2,2,16,1:cd,3,0.65,mixed,5,1.1,True,1,1.0,3,3.0,False,2,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-16450,resolved,under15min,23,27,2,27,13,1.173913043478261,5,4.0,0.18518518518518517,6,2,29,12:python,5,0.43,early,3,1.09,True,2,1.29,6,4.0,True,0,False,False,9,6,False,False,False,"('localization',)",2,1.5,2,3,0,0,0,0
django__django-11815,resolved,under1h,20,32,1,23,6,1.4,9,3.3333333333333335,0.28125,4,3,33,1:cd,10,0.18,early,4,1.2,True,2,1.67,2,2.0,True,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11999,resolved,under1h,18,24,0,16,7,1.3333333333333333,7,3.142857142857143,0.25,5,2,24,0:cd,8,0.6,mixed,9,1.0,False,1,1.0,6,6.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-5787,unresolved,under4h,26,33,7,20,11,1.2692307692307692,8,3.75,0.21212121212121213,8,2,40,1:cd,9,0.71,mixed,9,1.0,False,2,2.0,7,4.0,True,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8548,unresolved,under4h,34,33,2,33,33,0.9705882352941176,0,0.0,0.0,0,0,35,0:cd,1,0.91,mixed,1,1.0,False,2,1.17,12,7.0,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11133,resolved,under15min,20,25,1,21,17,1.2,6,6.833333333333333,0.16,13,3,26,1:cd,4,0.42,middle,2,1.0,False,2,1.14,7,4.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12774,unresolved,under1h,7,7,0,7,6,1.0,1,5.0,0.14285714285714285,5,5,7,0:think,2,0.5,middle,2,1.0,False,1,1.0,3,3.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,under1h,8,9,0,9,6,1.125,2,4.0,0.2222222222222222,6,2,9,0:think,3,0.5,middle,2,1.0,False,1,1.0,2,2.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7454,unresolved,under15min,46,70,5,51,15,1.4565217391304348,23,3.5217391304347827,0.32857142857142857,10,1,75,1:cd,19,0.31,early,15,1.05,True,2,1.4,6,4.0,True,3,False,True,6,5,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
