instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,unresolved,under15min,61,102,21,69,13,1.540983606557377,38,3.5789473684210527,0.3431372549019608,10,2,123,3:cd,34,0.46,middle,28,1.07,True,5,2.64,10,3.4,True,4,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,under15min,38,58,13,40,10,1.5,22,3.227272727272727,0.3275862068965517,7,2,71,3:cd,19,0.41,early,10,1.0,False,3,2.08,12,4.67,True,3,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,85,145,14,100,13,1.5294117647058822,54,3.7222222222222223,0.31724137931034485,8,2,159,3:cd,44,0.4,early,35,1.16,True,4,2.62,9,4.25,True,5,False,False,12,11,True,False,False,N/A,1,1.0,1,1,0,0,0,0
sympy__sympy-21379,unresolved,under1h,90,137,32,100,15,1.4666666666666666,51,4.176470588235294,0.291970802919708,9,2,169,3:cd,38,0.49,mixed,37,1.06,True,5,3.22,20,7.0,True,7,False,True,19,8,False,False,True,"('general', 'localization')",5,2.2,5,7,0,2,2,0
django__django-11790,unresolved,under1h,79,141,14,100,17,1.6329113924050633,73,3.6027397260273974,0.3617021276595745,10,1,155,3:cd,42,0.58,mixed,37,1.22,True,4,2.8,8,4.25,True,3,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,85,138,20,91,20,1.6,77,4.246753246753247,0.34782608695652173,11,2,158,3:cd,30,0.35,early,31,1.02,True,5,2.5,10,3.4,True,4,False,True,3,2,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
django__django-15569,resolved,under15min,51,86,14,56,8,1.607843137254902,34,2.9705882352941178,0.36046511627906974,6,2,100,3:cd,31,0.39,early,21,1.0,False,4,2.64,8,3.75,True,4,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,83,141,25,100,16,1.5903614457831325,66,3.742424242424242,0.3475177304964539,10,1,166,3:cd,42,0.46,mixed,44,1.03,True,4,2.63,13,6.5,True,8,False,True,22,12,False,True,False,N/A,6,3.33,3,10,0,0,0,0
django__django-14855,resolved,under15min,83,142,14,92,9,1.6024096385542168,54,2.962962962962963,0.3591549295774648,6,2,156,3:cd,51,0.43,mixed,40,1.09,True,3,2.25,10,4.67,True,7,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,45,77,9,52,7,1.5555555555555556,28,3.1785714285714284,0.3246753246753247,5,2,86,3:cd,26,0.28,early,12,1.05,True,3,2.12,8,3.33,True,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14034,unresolved,under1h,45,85,11,59,11,1.6,34,3.7058823529411766,0.3176470588235294,8,2,96,3:cd,27,0.22,early,13,1.06,True,5,3.0,3,1.6,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13925,resolved,under1h,90,147,18,100,15,1.5555555555555556,67,3.462686567164179,0.3401360544217687,9,2,165,3:cd,48,0.55,mixed,42,1.09,True,4,2.36,14,4.75,True,4,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11880,resolved,under15min,51,91,13,60,10,1.607843137254902,38,3.4210526315789473,0.3626373626373626,6,2,104,4:cd,32,0.43,mixed,24,1.08,True,4,3.33,6,3.75,True,4,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8459,resolved,under15min,86,138,27,100,15,1.5,60,4.333333333333333,0.3115942028985507,9,2,165,3:cd,39,0.42,early,29,1.11,True,5,2.64,11,5.2,True,7,False,True,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14141,resolved,under15min,32,51,7,34,10,1.5625,21,3.1904761904761907,0.3333333333333333,7,2,58,3:cd,18,0.37,early,12,1.0,False,3,2.4,5,2.67,False,3,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,unresolved,under1h,87,142,37,100,11,1.5172413793103448,48,3.2916666666666665,0.31690140845070425,7,2,179,3:cd,43,0.52,mixed,42,1.03,True,5,2.43,22,6.6,True,6,False,False,12,6,False,True,False,"('localization',)",3,1.5,4,4,0,0,2,0
django__django-12308,unresolved,under15min,55,106,10,66,8,1.7454545454545454,48,2.875,0.3867924528301887,5,2,116,3:cd,41,0.34,early,27,1.03,True,3,2.62,5,3.67,True,6,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2931,resolved,under1h,68,131,19,84,9,1.661764705882353,52,3.0384615384615383,0.37404580152671757,6,2,150,3:cd,48,0.32,early,27,1.11,True,5,2.9,8,3.6,True,2,False,True,4,3,False,False,False,"('localization', 'general', 'validation', 'general', 'localization', 'general')",1,1.0,1,1,0,0,0,0
django__django-11820,unresolved,under15min,77,182,11,87,9,1.7662337662337662,63,3.0634920634920637,0.34065934065934067,6,2,193,3:cd,62,0.26,early,34,1.04,True,3,2.22,9,4.0,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11179,resolved,under15min,89,147,24,100,14,1.5056179775280898,47,3.276595744680851,0.32653061224489793,9,2,171,3:cd,48,0.3,early,26,1.05,True,5,3.0,7,3.8,True,6,False,False,12,9,True,False,False,N/A,2,1.5,2,3,0,0,0,0
matplotlib__matplotlib-22719,resolved,under15min,79,127,17,84,19,1.5696202531645569,60,4.366666666666666,0.3543307086614173,13,2,144,3:cd,29,0.3,early,26,1.03,True,5,2.33,10,3.4,True,4,False,True,15,6,False,True,False,"('localization',)",2,1.8,5,9,0,0,0,0
django__django-14122,unresolved,under1h,96,155,33,100,10,1.59375,64,3.03125,0.36129032258064514,7,2,188,3:cd,56,0.58,mixed,55,1.02,True,4,3.08,22,8.25,True,7,False,True,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14053,resolved,under1h,45,70,17,48,12,1.5333333333333334,29,3.7241379310344827,0.3142857142857143,9,2,87,3:cd,23,0.42,early,15,1.03,True,5,3.45,7,3.4,True,2,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-18698,unresolved,under1h,87,148,20,100,11,1.5517241379310345,52,3.25,0.33783783783783783,7,2,168,3:cd,49,0.41,early,36,1.11,True,4,2.94,12,5.25,True,5,False,False,14,10,False,False,False,N/A,2,2.0,2,1,0,1,2,0
sympy__sympy-19783,resolved,under1h,83,151,21,97,13,1.5662650602409638,50,3.1,0.36423841059602646,9,2,172,3:cd,55,0.24,early,23,1.0,False,6,3.25,9,3.0,True,5,False,False,4,3,False,False,False,"('validation', 'localization')",1,1.0,1,0,0,0,1,0
sympy__sympy-15875,resolved,under15min,81,145,19,90,9,1.6790123456790123,60,2.816666666666667,0.3931034482758621,6,2,164,3:cd,56,0.36,early,37,1.02,True,6,3.4,8,2.5,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3151,resolved,under1h,41,68,10,45,9,1.6097560975609757,32,3.28125,0.38235294117647056,6,2,78,3:cd,24,0.39,middle,17,1.0,False,4,2.5,6,2.75,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7748,unresolved,under1h,87,144,31,100,12,1.528735632183908,53,3.509433962264151,0.3263888888888889,7,2,175,3:cd,45,0.39,early,35,1.06,True,5,3.12,12,5.0,True,6,False,False,5,2,False,False,False,"('localization',)",2,1.5,2,2,0,0,1,0
pytest-dev__pytest-7236,resolved,under1h,78,146,18,99,15,1.6153846153846154,75,3.84,0.3972602739726027,9,1,164,3:cd,48,0.41,mixed,43,1.15,True,3,2.71,6,3.25,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-16450,resolved,under15min,48,89,11,55,8,1.6875,40,2.9,0.39325842696629215,5,2,100,3:cd,35,0.27,early,16,1.0,False,3,2.14,7,3.33,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11815,resolved,under1h,93,164,15,100,12,1.6451612903225807,63,2.7301587301587302,0.38414634146341464,7,2,179,3:cd,62,0.31,early,36,1.06,True,3,2.4,6,4.67,True,3,False,False,5,5,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11999,resolved,under1h,81,143,13,88,12,1.6790123456790123,58,2.6724137931034484,0.38461538461538464,9,2,156,3:cd,56,0.25,early,31,1.0,False,3,2.2,5,2.67,True,5,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-5787,resolved,under4h,85,150,25,96,12,1.6,54,2.9074074074074074,0.36666666666666664,9,2,175,3:cd,55,0.25,early,33,1.16,True,2,2.0,5,3.5,False,8,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8548,resolved,under4h,91,143,33,100,10,1.4835164835164836,47,3.3191489361702127,0.3076923076923077,6,2,176,3:cd,44,0.49,mixed,40,1.03,True,4,2.96,20,8.25,True,6,False,True,11,10,False,False,False,N/A,1,1.0,1,0,0,0,1,0
django__django-11133,resolved,under15min,46,79,12,52,12,1.6521739130434783,35,3.2857142857142856,0.35443037974683544,7,2,91,3:cd,28,0.38,early,17,1.07,True,4,3.22,5,3.5,True,4,False,False,4,1,False,True,False,N/A,3,3.0,1,0,0,0,3,0
django__django-12774,unresolved,under1h,67,115,15,75,8,1.5671641791044777,40,2.975,0.3565217391304348,5,2,130,3:cd,41,0.34,early,25,1.0,False,3,2.5,6,4.0,True,7,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,resolved,under1h,77,121,21,83,15,1.4805194805194806,40,3.3,0.3140495867768595,11,2,142,3:cd,39,0.41,early,22,1.02,True,4,3.0,17,5.5,True,4,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7454,unresolved,under15min,95,168,23,100,16,1.6,99,5.252525252525253,0.34523809523809523,13,2,191,3:cd,45,0.47,mixed,50,1.14,True,4,2.57,13,6.0,True,7,False,True,6,4,False,False,False,N/A,1,1.0,2,2,0,0,0,0
django__django-15252,unresolved,under1h,68,117,16,76,9,1.661764705882353,55,3.1636363636363636,0.37606837606837606,7,2,133,3:cd,42,0.34,early,25,1.03,True,4,3.31,11,4.25,True,8,False,True,5,2,False,True,False,N/A,3,3.0,1,3,0,0,0,0
astropy__astropy-14598,unresolved,under1h,76,137,33,100,17,1.618421052631579,104,5.6826923076923075,0.32116788321167883,11,2,170,3:cd,38,0.36,early,29,1.23,True,5,4.0,15,6.8,True,2,False,True,23,10,False,True,False,"('localization',)",2,1.44,9,12,0,0,1,0
django__django-15851,resolved,under15min,70,133,15,79,13,1.6428571428571428,55,3.4909090909090907,0.3533834586466165,9,2,148,3:cd,45,0.27,early,20,1.09,True,3,2.2,11,4.67,False,9,False,True,3,3,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15930,resolved,under15min,93,152,23,100,11,1.5806451612903225,60,3.066666666666667,0.34868421052631576,7,2,175,3:cd,53,0.59,mixed,52,1.06,True,3,2.3,18,8.33,True,8,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14608,resolved,under15min,76,137,13,85,9,1.7105263157894737,62,2.838709677419355,0.39416058394160586,6,2,150,3:cd,53,0.34,early,33,1.02,True,4,3.12,5,3.0,True,4,False,True,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-22865,unresolved,under1h,84,140,37,100,18,1.5357142857142858,52,3.730769230769231,0.3142857142857143,12,2,177,3:cd,41,0.36,early,34,1.09,True,6,3.56,9,4.5,True,2,False,False,19,9,False,True,False,"('localization',)",5,2.0,5,10,0,0,0,0
django__django-14500,unresolved,under1h,91,144,25,100,14,1.5054945054945055,50,3.5,0.3194444444444444,10,2,169,3:cd,45,0.44,early,32,1.07,True,4,2.77,12,6.0,True,5,False,False,3,3,True,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-13142,resolved,under15min,40,60,15,42,10,1.475,22,3.409090909090909,0.3,6,2,75,3:cd,19,0.43,early,13,1.0,False,4,3.0,10,3.75,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14496,resolved,under15min,49,74,14,52,16,1.469387755102041,26,3.6538461538461537,0.2972972972972973,12,2,88,3:cd,23,0.36,early,18,1.0,False,5,3.14,5,2.6,True,3,False,False,4,2,False,False,False,"('localization',)",1,1.0,2,1,0,1,0,0
sympy__sympy-17318,unresolved,under1h,46,77,12,51,11,1.5869565217391304,34,3.4411764705882355,0.35064935064935066,7,2,89,3:cd,27,0.33,early,14,1.04,True,4,2.38,8,3.0,True,3,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
