instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,49,87,10,56,17,1.5510204081632653,28,2.357142857142857,0.3563218390804598,4,2,97,14:cd,32,0.19,early,4,1.06,True,2,2.0,8,4.5,False,7,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,under15min,29,59,9,45,8,1.6206896551724137,27,3.111111111111111,0.4745762711864407,4,1,68,5:cd,15,0.32,mixed,13,1.12,True,4,2.57,6,2.5,True,1,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,35,63,5,41,9,1.6,22,2.5454545454545454,0.3492063492063492,4,2,68,6:cd,23,0.17,early,5,1.1,True,5,4.0,2,1.2,True,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unresolved,under1h,41,52,23,40,12,1.2682926829268293,12,3.9166666666666665,0.21153846153846154,8,2,75,2:cd,13,0.74,mixed,14,1.0,False,3,2.5,13,8.0,True,7,False,True,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11790,unresolved,under1h,56,95,14,61,9,1.5892857142857142,34,2.676470588235294,0.35789473684210527,6,2,109,3:cd,35,0.26,early,11,1.0,False,5,3.5,7,3.0,True,3,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,54,92,14,60,13,1.5740740740740742,32,2.59375,0.3695652173913043,7,2,106,7:cd,33,0.19,early,10,1.0,False,7,7.0,1,1.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,under15min,33,57,6,36,7,1.606060606060606,21,2.4761904761904763,0.3684210526315789,4,2,63,4:cd,22,0.14,early,5,1.0,False,3,3.0,2,1.33,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,27,33,14,26,12,1.2222222222222223,7,3.2857142857142856,0.21212121212121213,5,2,47,8:cd,8,0.74,mixed,9,1.0,False,4,2.78,7,3.75,True,6,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14855,resolved,under15min,75,122,11,93,30,1.3733333333333333,29,4.068965517241379,0.2540983606557377,22,2,133,8:cd,30,0.35,early,11,1.16,True,4,3.43,5,2.5,True,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,30,45,9,32,7,1.4,13,3.1538461538461537,0.28888888888888886,5,2,54,2:cd,14,0.48,early,11,1.05,True,4,2.29,7,2.5,True,3,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14034,unresolved,under1h,43,82,8,52,9,1.6046511627906976,27,2.6666666666666665,0.35365853658536583,6,2,90,3:cd,31,0.16,early,6,1.08,True,5,3.67,3,1.4,True,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13925,unresolved,under1h,55,98,14,71,20,1.490909090909091,28,3.2857142857142856,0.29591836734693877,11,2,112,14:cd,28,0.41,early,11,1.28,True,5,3.89,6,3.0,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11880,resolved,under15min,25,39,5,27,8,1.48,13,2.6923076923076925,0.3333333333333333,4,2,44,5:cd,13,0.23,early,3,1.0,False,3,2.25,4,2.0,True,1,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8459,resolved,under15min,36,44,10,39,23,1.1111111111111112,5,6.0,0.11363636363636363,13,3,54,11:cd,6,0.47,early,5,1.05,True,3,2.33,6,3.0,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14141,resolved,under15min,35,55,5,39,14,1.4857142857142858,18,3.0555555555555554,0.2727272727272727,10,2,60,5:cd,17,0.32,early,6,1.0,False,3,2.25,4,2.0,False,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,73,117,19,84,26,1.4246575342465753,32,3.15625,0.27350427350427353,14,2,136,13:cd,34,0.31,early,9,1.0,False,5,3.5,8,3.0,True,6,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12308,resolved,under15min,55,84,11,59,18,1.4545454545454546,26,2.769230769230769,0.30952380952380953,6,2,95,13:cd,26,0.27,early,7,1.05,True,3,2.62,6,4.0,True,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2931,resolved,under1h,51,94,15,63,13,1.5490196078431373,29,2.896551724137931,0.30851063829787234,6,2,109,3:cd,32,0.27,early,11,1.04,True,4,3.56,9,4.0,True,3,False,True,3,3,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11820,unresolved,under15min,56,98,12,64,9,1.5714285714285714,33,2.727272727272727,0.3469387755102041,5,2,110,5:cd,35,0.23,early,12,1.0,False,3,2.5,4,2.25,True,2,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11179,resolved,under15min,49,85,12,58,12,1.530612244897959,27,2.925925925925926,0.3411764705882353,8,2,97,5:cd,28,0.1,early,3,1.0,False,5,4.0,2,1.4,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-22719,resolved,under15min,42,71,8,49,8,1.5238095238095237,24,3.125,0.30985915492957744,5,2,79,3:cd,23,0.25,early,8,1.06,True,4,3.8,4,2.5,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14122,resolved,under1h,73,119,20,83,9,1.547945205479452,46,3.4565217391304346,0.33613445378151263,6,2,139,3:cd,37,0.44,early,20,1.18,True,5,3.92,8,4.6,True,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14053,resolved,under1h,33,52,5,36,8,1.4848484848484849,17,2.823529411764706,0.3076923076923077,4,2,57,5:cd,17,0.32,early,7,1.0,False,5,5.0,2,1.2,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-18698,resolved,under1h,30,36,12,30,20,1.1666666666666667,6,3.6666666666666665,0.16666666666666666,9,2,48,12:cd,7,0.54,early,3,1.0,False,4,3.33,8,3.25,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-19783,unresolved,under1h,36,57,12,38,11,1.5555555555555556,25,3.24,0.3508771929824561,8,2,69,4:cd,20,0.59,mixed,19,1.06,True,5,4.6,6,3.0,True,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15875,resolved,under15min,45,67,15,46,7,1.4444444444444444,21,3.0,0.29850746268656714,5,2,82,2:cd,22,0.6,mixed,20,1.0,False,4,3.2,10,3.75,True,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
