instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,12,13,2,14,11,1.0833333333333333,2,6.0,0.07692307692307693,10,2,15,2:think,2,0.43,early,3,1.0,False,2,1.67,3,2.5,False,1,False,False,4,3,False,False,False,N/A,1,1.0,1,0,0,1,0,0
sympy__sympy-13480,resolved,under15min,9,11,1,10,7,1.1111111111111112,2,2.5,0.18181818181818182,3,2,12,4:cd,2,0.17,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,6,7,2,8,4,1.1666666666666667,2,2.0,0.2857142857142857,2,2,9,2:str_replace_editor: view,2,0.5,early,2,1.33,True,3,3.0,2,1.33,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unresolved,under1h,4,3,0,3,3,0.75,0,0.0,0.0,0,0,3,0:str_replace_editor: create,1,0.5,early,2,1.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11790,resolved,under1h,3,3,0,4,2,1.0,1,1.0,0.3333333333333333,1,1,3,2:submit,2,0.25,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,13,18,3,19,8,1.3846153846153846,6,2.8333333333333335,0.3333333333333333,7,2,21,0:python,6,0.53,early,1,1.25,True,3,2.5,2,1.33,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,under15min,7,8,2,9,6,1.1428571428571428,2,3.0,0.125,4,2,10,3:think,2,0.44,early,2,1.0,False,2,2.0,2,1.5,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unsubmitted,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14855,resolved,under15min,40,79,2,60,11,1.5,21,3.2857142857142856,0.26582278481012656,5,2,81,7:python,21,0.04,early,2,1.0,False,3,3.0,1,1.0,True,0,False,True,6,4,True,False,False,N/A,1,1.0,2,2,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,11,13,1,12,9,1.0909090909090908,2,2.5,0.15384615384615385,3,2,14,5:cd,2,0.29,early,2,1.0,False,2,2.0,1,1.0,True,0,False,True,2,1,False,False,False,"('localization', 'validation')",1,1.0,1,1,0,0,0,0
django__django-14034,unresolved,under1h,14,15,4,15,13,1.0714285714285714,2,8.0,0.13333333333333333,13,3,19,0:think,2,0.44,early,2,1.0,False,4,3.5,2,1.25,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
