instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,under15min,21,31,0,26,10,1.2380952380952381,6,4.166666666666667,0.1935483870967742,7,2,31,4:cd,6,0.66,mixed,6,1.24,True,1,1.0,4,4.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,under15min,11,16,1,12,5,1.3636363636363635,5,3.2,0.3125,4,3,17,1:cd,5,0.29,early,3,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,14,22,4,18,9,1.2857142857142858,5,2.8,0.22727272727272727,3,2,26,6:cd,5,0.57,mixed,5,1.3,True,3,3.0,2,1.67,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unresolved,under1h,26,32,9,33,10,1.2307692307692308,7,3.4285714285714284,0.21875,4,2,41,12:python,5,0.45,early,6,1.0,False,3,1.9,8,4.0,True,2,False,True,7,6,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
django__django-11790,unresolved,under1h,13,25,0,19,6,1.4615384615384615,7,2.857142857142857,0.28,3,2,25,3:cd,7,0.38,early,5,1.43,True,1,1.0,1,1.0,False,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,under1h,12,18,2,15,8,1.25,4,2.75,0.2222222222222222,3,2,20,5:cd,4,0.21,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,under15min,8,10,1,9,6,1.125,2,2.5,0.2,3,2,11,3:cd,2,0.36,early,2,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,under1h,24,83,0,76,12,1.3333333333333333,9,3.888888888888889,0.6626506024096386,7,1,83,23:str_replace_editor: str_replace,48,0.14,early,6,1.33,True,1,1.0,3,3.0,False,1,False,False,53,5,True,True,False,N/A,48,48.0,1,0,48,0,0,0
django__django-14855,unresolved,under15min,35,124,8,106,9,1.5714285714285714,23,3.6956521739130435,0.4435483870967742,6,3,132,22:str_replace_editor: view,20,0.7,mixed,16,3.67,True,3,3.0,59,21.0,True,0,False,False,8,8,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,under1h,23,26,14,27,19,1.1304347826086956,4,2.0,0.15384615384615385,2,2,40,17:python,4,0.74,mixed,1,1.05,True,4,3.0,8,3.75,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14034,unresolved,under1h,15,20,4,21,9,1.3333333333333333,6,2.0,0.3,2,2,24,7:python,6,0.48,early,1,1.11,True,3,3.0,3,1.67,False,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13925,resolved,under1h,44,62,4,50,22,1.25,12,3.9166666666666665,0.1935483870967742,7,2,66,16:cd,12,0.27,early,2,1.0,False,2,1.8,4,3.5,False,2,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11880,resolved,under15min,9,10,2,11,7,1.1111111111111112,2,2.0,0.2,2,2,12,5:python,2,0.55,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8459,unresolved,under15min,52,122,4,82,24,1.4230769230769231,23,3.0869565217391304,0.1721311475409836,7,2,126,19:cd,38,0.17,mixed,17,3.5,True,3,3.0,3,1.67,False,2,False,False,21,20,False,False,False,"('general', 'validation', 'general', 'validation', 'general', 'validation')",1,1.0,1,0,0,0,1,0
scikit-learn__scikit-learn-14141,resolved,under15min,8,9,0,10,6,1.125,2,2.0,0.2222222222222222,2,2,9,4:python,2,0.5,early,1,1.0,False,1,1.0,2,2.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,resolved,under1h,30,34,12,35,23,1.1333333333333333,5,2.6,0.14705882352941177,4,2,46,20:python,5,0.74,mixed,2,1.04,True,3,2.18,10,5.33,True,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12308,unresolved,under15min,27,40,10,41,15,1.4444444444444444,13,2.923076923076923,0.325,12,2,50,13:python,12,0.49,early,1,1.25,True,4,3.12,8,3.25,True,3,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2931,unresolved,under1h,14,16,5,17,10,1.1428571428571428,3,2.3333333333333335,0.1875,3,2,21,6:python,2,0.47,early,1,1.0,False,3,2.25,4,2.0,False,3,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11820,unresolved,under15min,44,105,1,83,15,1.3636363636363635,21,4.857142857142857,0.3047619047619048,10,2,106,40:str_replace_editor: create,19,0.08,early,3,1.0,False,2,1.33,3,2.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11179,unresolved,under15min,14,22,3,18,8,1.2857142857142858,5,3.0,0.22727272727272727,4,2,25,5:cd,5,0.57,mixed,5,1.3,True,3,2.5,2,1.33,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-22719,resolved,under15min,15,16,6,17,13,1.0666666666666667,2,2.0,0.125,2,2,22,9:python,2,0.59,early,1,1.0,False,3,2.75,3,2.33,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14122,unresolved,under1h,40,83,21,84,25,1.225,10,3.9,0.5180722891566265,11,1,104,38:str_replace_editor: view,36,0.86,mixed,4,2.25,True,5,3.94,46,11.6,True,7,False,True,7,4,False,True,False,N/A,2,1.5,2,3,0,0,0,0
scikit-learn__scikit-learn-14053,resolved,under1h,16,20,4,17,9,1.1875,4,3.25,0.2,5,2,24,5:cd,4,0.38,early,2,1.0,False,3,2.33,3,1.67,True,0,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-18698,unresolved,under1h,8,9,0,10,6,1.125,2,2.0,0.2222222222222222,2,2,9,4:python,2,0.7,mixed,1,1.17,True,1,1.0,2,2.0,False,2,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-19783,unresolved,under1h,5,701,2,702,4,1.4,3,1.3333333333333333,0.992867332382311,2,1,703,4:grep,694,0.99,mixed,3,174.25,True,2,2.0,2,1.5,False,2,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15875,unresolved,under15min,16,19,2,20,12,1.1875,4,2.25,0.21052631578947367,3,2,21,9:python,3,0.5,early,1,1.0,False,2,1.67,3,2.5,False,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3151,resolved,under1h,21,33,4,28,10,1.380952380952381,10,3.5,0.24242424242424243,6,2,37,5:cd,6,0.24,early,3,1.0,False,2,2.0,4,2.5,False,0,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7748,unresolved,under1h,25,45,3,46,18,1.48,22,5.7727272727272725,0.24444444444444444,16,1,48,15:mv,7,0.2,early,3,1.12,True,3,2.5,2,1.67,True,0,False,True,19,13,True,True,False,"('general',)",2,1.2,5,6,0,0,0,0
pytest-dev__pytest-7236,resolved,under1h,36,66,13,50,13,1.4166666666666667,16,3.5625,0.25757575757575757,6,2,79,8:cd,17,0.27,early,7,1.06,True,3,2.36,10,5.0,False,6,False,False,6,6,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-16450,resolved,under15min,11,12,1,13,9,1.0909090909090908,2,2.0,0.16666666666666666,2,2,13,5:python,2,0.46,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11815,resolved,under1h,30,59,7,42,7,1.5333333333333334,17,3.3529411764705883,0.288135593220339,5,2,66,3:cd,17,0.53,mixed,14,1.45,True,4,3.0,4,2.0,False,4,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11999,unresolved,under1h,23,42,3,30,9,1.4782608695652173,13,3.6153846153846154,0.2619047619047619,6,2,45,2:cd,12,0.23,early,5,1.11,True,3,2.5,2,1.33,False,1,False,False,9,9,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-5787,unresolved,under4h,23,25,8,26,16,1.0869565217391304,3,3.3333333333333335,0.12,5,2,33,6:find,2,0.77,mixed,1,1.05,True,3,2.67,4,3.0,False,3,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8548,unresolved,under4h,22,33,6,34,11,1.4545454545454546,11,2.0,0.3333333333333333,2,2,39,9:python,12,0.29,early,1,1.0,False,4,3.5,3,1.75,False,2,False,False,12,12,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11133,resolved,under15min,11,17,1,14,7,1.2727272727272727,4,2.75,0.23529411764705882,3,2,18,4:cd,4,0.39,early,3,1.17,True,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12774,unresolved,under1h,23,32,4,33,9,1.391304347826087,10,2.6,0.3125,5,2,36,5:python,10,0.55,early,2,1.29,True,3,3.0,2,1.67,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
